"id","genres"
"1sPg5EHuQXTMElpZ4iUgXe","folk brasileiro,nova mpb,pop lgbtq+ brasileira,pop nacional"
"3FlCKtwOEYQQYyGVEbxG2Z","agronejo,arrocha,sertanejo,sertanejo pop,sertanejo universitario"
"5LHRHt1k9lMyONurDHEdrp","hip hop,pop rap,rap,trap"
"5M06IyTZgyRlWeNjazqsZK",brazilian reggae
"7gAppWoH7pcYmphCVTXkzs","boy band,pop"
"4VMYDCV2IEDYJArk749S6m","latin hip hop,reggaeton,trap latino,urbano latino"
"5he5w2lnU9x7JFhnwcekXX","brostep,complextro,edm,electro,pop dance"
"4obzFoKoKRHIphyHzJ35G3","latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino"
"06HL4z0CvFAxyc27GXpf02",pop
"59FrDXDVJz0EKqYg39dnT2",pop nacional
"6gLW5LlLEXdtWaS0EWfzaJ",sertanejo universitario
"6Y8pfJkEdw4EAST4g9C026","agronejo,sertanejo,sertanejo pop,sertanejo universitario"
"0Y5tJX1MQlPlqiwlOH1tJY","hip hop,rap,slap house"
"5MS6HieNmKxzkAM8amE8sr","funk 150 bpm,funk carioca,pop lgbtq+ brasileira"
"3nD4yj5ojI0Xts9fhWw8ui","batidao romantico,funk carioca"
"3k68C6mNMJL6OaAdWeW2ZF","arrocha,sertanejo,sertanejo pop,sertanejo universitario"
"1nca3OA1kKCpP6aPJcBL92","sertanejo,sertanejo universitario"
"0id62QV2SZZfvBn9xpmuCl","pop soul,r&b"
"7rXMvXRnWHaSwnVvPeUUfw","funk carioca,pop lgbtq+ brasileira"
"4LAFtDzlQM89xov636hMVv",trap brasileiro
"76Xa625geVw0Q7BdyxNjA2","funk carioca,funk ostentacao,funk pop"
"3XcCT5MPlQPWFTJyzXbfuX",detroit hip hop
"0xA8Rmfl9di0sVaPl9AyR9","funk carioca,funk ostentacao"
"28uJnu5EsrGml2tBd7y8ts",brazilian edm
"5YGY8feqx7naU7z4HrwZM6",pop
"00FQb4jTyendYWaN8pK0wa","art pop,pop"
"7xX15v6ahAkcT14kHfB9wB",k-rap
"2YFBOR9KIxC6WqHclkj9Yq","hip pop,pop r&b,post-teen pop,r&b"
"6Xg22wJOAcnvPUfk5WvODH",k-pop
"2OjoIDVPQKT9B7loZbPEfp","axe,pagode,pop nacional,sertanejo universitario"
"6tbjWDEIzxoDsBA1FuhfPW","dance pop,pop"
"0bg3fNpRQgZTCAg3Bseyly","deboxe,funk carioca,funk mtg,funk ostentacao,funk rj"
"06zC1Z0YDLeWPBLIEAkswh",funk rj
"0IVBT8qQNwvHLzOJL6kGpE","brazilian hip hop,brazilian reggae"
"1cYhx7ZOhYoVmnDPb9KMwo","funk carioca,funk mtg,funk paulista"
"2iK1rsbYstkSVn57M4s8ut","funk carioca,r&b brasileiro"
"23ot0eI6ByBW6LrlBfr2bm",trap brasileiro
"2cWZOOzeOm4WmBJRnD5R7I","pop,r&b"
"5YwzDz4RJfTiMHS4tdR5Lf","brazilian hip hop,trap brasileiro"
"2450WxbFxHjnttFAv31zGk",pop rap brasileiro
"5nP8x4uEFjAAmDzwOEc9b8","r&b brasileiro,rap cearense,trap brasileiro"
"77qukKzmdI5BeMBR7WGUrN",chicago house
"56mfhUDKa1vec6rSLZV5Eg",nz pop
"07YZf4WDAMNwqr4jfgOZ8y","dance pop,pop"
"6kaefrHSdAvxhhCVDFTCEL",latin arena pop
"26VFTg2z8YR0cCuwLzESi2","electropop,etherpop,indie poptimism,pop"
"0OVOH98bZTn0lsdL7MclGw","nova mpb,r&b brasileiro"
"3zhKxZr516VdNDa8v3oft2","funk carioca,nova mpb,pop rap brasileiro"
"5ZfBThYiIIhL7jHMG8gDB2","funk carioca,pagode,pagode novo,sertanejo universitario"
"6fs2or0cKLEM2xohWq8SoX",chinese electropop
"2FDaBZt51fOXh2rbHL8Afr","funk mtg,funk paulista"
"1mV9h1AwhRXSjBFcYpajgY",funk paulista
"4fBAsjJmj6lwaOuWS15stg",funk consciente
"4d175LvxCzxt5vHbJyv49q","funk bh,funk carioca,funk mtg"
"1XLWox9w1Yvbodui0SRhUQ",melodic rap
"0hWRVPGWjaXcEvg8l65Tx0","brazilian hip hop,nova musica pernambucana,rap pernambucano"
"2UMj7NCbuqy1yUZmiSYGjJ","funk 150 bpm,funk carioca,funk rj"
"5hPHLE5ssifxHX5bhK8iXR","funk carioca,funk rj"
"57FU7zh1oXdQMT4XhjSsHL",funk carioca
"3tJ9PkBOrG7hFkHeNM2tbw","axe,brazilian percussion,pagode,samba reggae"
"7ecRwFks8F2vYad383BkKf","funk 150 bpm,funk carioca,funk rj"
"4m5LghDfOKFZNEBZ0GO1OQ",indie curitibano
"7mOHrerbDSX5PbvTbuFAS9",brega funk
"3lT6gKD7eGb3dZRutZ3Jol",funk paulista
"6vTqEFbTtTRJsuIpzZgjxi","pagode,pagode novo"
"2uSwBbWqsXgoMYQjynmwQ7","pagode,pagode novo"
"7qd6KGoABHifvXKeFNe2Yb",trap queen
"1o2NpYGqHiCq7FoiYdyd1x","alt z,pop,talent show"
"1QAoT8rjnSPy5pXpu3yiHS",trap brasileiro
"3EiLUeyEcA6fbRPSHkG5kb","reggaeton,reggaeton flow,trap latino,urbano latino"
"20L3gYREq24KddkFreyiNv","axe,pagode baiano"
"3PhoLpVuITZKcymswpck5b","glam rock,mellow gold,piano rock,rock"
"606eWexxNhc6Mj0RuCxMA9","arrochadeira,brega funk"
"0fA0VVWsXO9YnASrzqfmYu","hip hop,ohio hip hop,pop rap,rap"
"5X5jKBLJ88Ji6tzwfL0g4c",
"6Ovxg5WDcnSQc8iQXv0IvI",
"3qm84nBOXUEQ2vnTfUTTFC","glam metal,hard rock,rock"
"0QHeVlSNj20H73pBvefBNZ",
"6sp12XzqjowOJNO1jkbXMR",
"3oo4KrgV0t3uqQ4e7jHHNs",
"0veT0fwV68EiAfkWWqRNFw",
