track_name,artist_name,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,is_hit,groove_factor,commercial_appeal,energy_dance_ratio,vocal_presence,bpm_category,loudness_normalized,hit_potential_score,acoustic_electric_balance,is_music
Carreira Solo - Ao Vivo,Gusttavo Lima,126.957,0.933,0.806,0.916,0.409,0.0,0.871,0.0376,-1.152,1,0.7944950000000001,0.9548800000000001,1.1433823529411764,1.0,2.0,0.9808,0.8809880000000001,0.818,1.0
Pro Dia Nascer Feliz,Jetlag Music,124.016,0.846,0.67,0.589,0.164,0.0,0.113,0.0884,-6.543,0,0.6954933333333333,0.77017,1.2441176470588233,1.0,2.0,0.89095,0.7166170000000001,0.32800000000000007,1.0
Motivation,Normani,170.918,0.887,0.599,0.881,0.0192,1.21e-06,0.3,0.0984,-3.967,1,0.7504633333333334,0.91273,1.4564860426929394,0.99999879,3.0,0.9338833333333334,0.7731730000000001,0.03839999999999999,1.0
Me Gusta,Shakira,92.007,0.696,0.775,0.775,0.0559,0.00184,0.157,0.0681,-5.184,1,0.649645,0.85816,0.886624203821656,0.99816,1.0,0.9136000000000001,0.7596160000000001,0.11180000000000001,1.0
Favela,Alok,103.023,0.812,0.777,0.283,0.0125,0.00233,0.0264,0.0598,-3.206,1,0.703805,0.68114,1.031766200762389,0.99767,1.0,0.9465666666666667,0.679114,0.025000000000000022,1.0
Kenny G,Matuê,72.573,0.767,0.417,0.152,0.0778,0.0,0.113,0.194,-3.31,1,0.459555,0.6276999999999999,1.7962529274004684,1.0,0.0,0.9448333333333333,0.49007,0.15559999999999996,1.0
Joga Esse Rabão pro Pai,Dennis DJ,106.794,0.585,0.643,0.438,0.205,2.42e-06,0.0876,0.145,-4.73,0,0.57499,0.7279,0.895865237366003,0.99999758,1.0,0.9211666666666666,0.59309,0.4099999999999999,1.0
Relógio Parado (Ao Vivo),Diego & Arnaldo,124.984,0.943,0.741,0.725,0.0486,0.0,0.965,0.0456,-1.401,1,0.7617066666666666,0.8759899999999998,1.255659121171771,1.0,2.0,0.9766499999999999,0.8118989999999999,0.09719999999999995,1.0
Liar,Camila Cabello,98.016,0.498,0.74,0.652,0.0169,0.00282,0.319,0.0456,-6.684,1,0.58276,0.79396,0.664,0.99718,1.0,0.8886000000000001,0.6551960000000001,0.03380000000000005,1.0
Sobrou Silêncio,Rashid,92.052,0.765,0.825,0.277,0.369,0.0,0.321,0.12,-5.028,0,0.6954199999999999,0.66052,0.9161676646706587,1.0,1.0,0.9162,0.680952,0.738,1.0
O que Tiver de Ser,Detonautas Roque Clube,180.18,0.843,0.421,0.344,0.0352,0.0,0.114,0.194,-4.532,0,0.6634,0.69228,1.9559164733178653,1.0,3.0,0.9244666666666668,0.5593279999999999,0.07040000000000002,1.0
Exército da Paz (Peace Army),Natiruts,178.075,0.768,0.553,0.926,0.179,0.0,0.0784,0.0413,-6.376,0,0.7036916666666667,0.9066400000000001,1.364120781527531,1.0,3.0,0.8937333333333334,0.7274640000000001,0.358,1.0
Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,134.992,0.864,0.776,0.701,0.478,0.0,0.932,0.0517,-4.281,1,0.7721866666666667,0.83759,1.0992366412213739,1.0,2.0,0.92865,0.793559,0.956,1.0
Bumbum Ignorante,Dennis DJ,155.061,0.733,0.857,0.855,0.158,0.0,0.0855,0.0985,-3.528,0,0.806835,0.90672,0.845444059976932,1.0,3.0,0.9412,0.824372,0.31600000000000006,1.0
Tiro de Festim - Ao Vivo,Guilherme & Benuto,112.361,0.753,0.549,0.55,0.656,0.0,0.442,0.104,-4.728,0,0.5876683333333332,0.7727200000000001,1.3470483005366725,1.0,1.0,0.9212,0.632772,0.688,1.0
Isso Que é Vida,Dennis DJ,133.889,0.73,0.86,0.93,0.471,0.0,0.0952,0.13,-3.565,0,0.7721483333333334,0.93635,0.8390804597701149,1.0,2.0,0.9405833333333333,0.8426350000000001,0.942,1.0
