track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit,Unnamed: 0,id,artist_names,name,genres,key,mode,tempo,time_signature,artists_ids,groove_factor,commercial_appeal,energy_dance_ratio,vocal_presence,bpm_category,loudness_normalized,hit_potential_score,acoustic_electric_balance,is_music
Vinte E Nove,Legião Urbana,129.726,0.542,0.42,0.72,0.02,0.0471,0.185,0.036,-13.097,223933.0,mpb,1.0,,,,,,,,,,,0.48880999999999997,0.7570299999999999,1.2604651162790699,0.9529,2.0,0.7817166666666666,0.550303,0.040000000000000036,1.0
De Cada Vez,Sandy;Agnes Nunes,94.834,0.323,0.548,0.382,0.721,0.0,0.0841,0.0256,-9.942,215736.0,mpb,1.0,,,,,,,,,,,0.42895666666666665,0.6533800000000001,0.578853046594982,1.0,1.0,0.8343,0.4578380000000001,0.558,1.0
Pausa #Omundoprecisadepausa,Vicka,121.995,0.549,0.708,0.519,0.161,0.0,0.113,0.0276,-7.428,199500.0,mpb,1.0,,,,,,,,,,,0.6220249999999999,0.7333200000000001,0.764623955431755,1.0,2.0,0.8762000000000001,0.625032,0.32200000000000006,1.0
Além do Que Se Vê,Los Hermanos,138.111,0.498,0.718,0.767,0.286,0.000326,0.157,0.031,-7.171,230746.0,mpb,1.0,,,,,,,,,,,0.638585,0.8350900000000001,0.6840659340659341,0.999674,2.0,0.8804833333333334,0.673509,0.572,1.0
Perdidos No Espaço,Legião Urbana,81.917,0.567,0.572,0.768,0.0435,0.129,0.0966,0.0388,-12.398,177466.0,mpb,1.0,,,,,,,,,,,0.4926283333333333,0.78322,0.9742268041237113,0.871,0.0,0.7933666666666668,0.630822,0.08699999999999997,1.0
O Meu Mundo Ficaria Completo (Com Você),Cássia Eller,168.029,0.91,0.637,0.87,0.624,0.0,0.115,0.0589,-3.651,249132.0,mpb,1.0,,,,,,,,,,,0.7715483333333334,0.9114900000000001,1.4064914992272024,1.0,3.0,0.93915,0.7929490000000001,0.752,1.0
Alice (Não Me Escreva Aquela Carta de Amor) / Conspiração Internacional - Ao Vivo,Leoni,80.557,0.484,0.567,0.843,0.805,0.0,0.881,0.0397,-8.201,201613.0,mpb,1.0,,,,,,,,,,,0.46296166666666666,0.8551899999999999,0.8388214904679376,1.0,0.0,0.8633166666666666,0.626119,0.3899999999999999,1.0
Maria de Verdade,Marisa Monte,98.059,0.52,0.728,0.843,0.241,0.000104,0.118,0.0277,-11.185,235933.0,mpb,1.0,,,,,,,,,,,0.5834316666666667,0.82535,0.7046070460704608,0.999896,1.0,0.8135833333333333,0.698335,0.482,1.0
Mil e uma noites de amor,Pepeu Gomes,107.955,0.949,0.614,0.67,0.146,2.17e-06,0.472,0.0386,-6.93,352306.0,mpb,1.0,,,,,,,,,,,0.6716249999999999,0.7987,1.5208333333333333,0.99999783,1.0,0.8845,0.74417,0.29200000000000004,1.0
Coisa da pele - Ao vivo,Jorge Aragão,102.493,0.864,0.501,0.745,0.771,0.00384,0.979,0.0926,-8.877,235866.0,mpb,1.0,,,,,,,,,,,0.5805216666666667,0.8092299999999999,1.6908023483365948,0.99616,1.0,0.85205,0.689523,0.45799999999999996,1.0
