track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit
Fumaça (Ao Vivo),Casa Worship;Léo Brandão;Julliany Souza,134.471,0.792,0.274,0.212,0.0657,0.0,0.681,0.0663,-8.035,408805,brazil,1
Luz da Lua,Oriente;Ferrugem,125.038,0.82,0.76,0.712,0.44,0.0,0.0596,0.037,-3.521,203520,brazil,1
Seu Amor Me Persegue (Studio),Casa Worship;Julliany Souza,133.784,0.603,0.364,0.0886,0.0217,7.67e-05,0.0898,0.0356,-9.079,445970,brazil,1
"Aguente, Guerreiro",Anderson Freire;Midian Lima,89.533,0.542,0.327,0.291,0.129,0.0,0.0945,0.0523,-8.352,307750,brazil,1
Seja Forte,Isadora Pompeo,128.132,0.609,0.567,0.276,0.00399,2.67e-06,0.106,0.0322,-5.453,253866,brazil,1
Se eu lembro faz doer,Tim Maia,132.938,0.752,0.446,0.476,0.448,4.38e-05,0.121,0.0528,-8.252,230706,brazil,0
Senhor fazei de mim (Um instrumento de tua paz),Marcelo Falcão,108.03,0.571,0.649,0.659,0.241,1.08e-05,0.172,0.027,-6.198,140466,brazil,1
Sobre o Tempo,Pato Fu,94.946,0.551,0.633,0.427,0.00731,0.123,0.144,0.0427,-12.294,207533,brazil,1
Acenda o farol,Tim Maia,123.095,0.883,0.574,0.692,0.0606,0.0,0.0524,0.136,-6.686,192026,brazil,0
Vou Deixar na Cruz,Cassiane,136.085,0.67,0.292,0.182,0.56,0.0,0.0803,0.0395,-5.685,334692,brazil,1
Como És Lindo - Ao Vivo,Vida Reluz,96.158,0.232,0.267,0.103,0.712,0.0,0.538,0.0301,-14.365,238760,brazil,1
Desde Quando Você Se Foi,Fresno,130.024,0.902,0.575,0.601,0.077,0.0,0.359,0.0321,-3.092,216226,brazil,1
Pescador de ilusões - Ao vivo acústico,O Rappa,106.628,0.806,0.385,0.693,0.237,0.00566,0.933,0.0398,-8.967,306266,brazil,1
Tu És Fiel,Marcelo Markes;Juliano Son,140.443,0.449,0.314,0.127,0.23,6.35e-05,0.0939,0.0281,-9.442,301276,brazil,1
Amor pra recomeçar,Frejat,120.528,0.856,0.564,0.726,0.215,0.0,0.337,0.0363,-4.994,214626,brazil,1
Pai Nosso - Ao Vivo,Padre Marcelo Rossi,183.259,0.624,0.189,0.282,0.0877,0.0,0.0628,0.045,-7.389,213866,brazil,1
Em Teus Braços - Acústico,Lukas Agustinho,62.518,0.485,0.396,0.739,0.615,0.0,0.151,0.0344,-8.249,255600,brazil,1
Com Muito Louvor,Cassiane,138.701,0.681,0.359,0.324,0.528,0.0,0.665,0.0361,-5.821,382014,brazil,1
Eu Vou Construir,Nívea Soares,139.701,0.443,0.436,0.314,0.357,0.0,0.362,0.029,-10.068,409459,brazil,1
Eu Não Perdi o Controle (Ao Vivo),Samuel Messias,123.648,0.51,0.516,0.332,0.138,0.0,0.0721,0.0349,-9.462,437324,brazil,1
Aclame ao Senhor - Ao Vivo,Diante do Trono,119.52,0.486,0.309,0.232,0.778,0.0,0.117,0.0359,-8.155,455106,brazil,1
Nas Asas do Senhor,Alessandra Salles;Eros Biondini,123.858,0.537,0.46,0.409,0.652,1.65e-06,0.134,0.029,-6.989,289840,brazil,1
Jeová Jireh,Aline Barros,133.928,0.758,0.4,0.114,0.00438,0.0,0.229,0.0534,-7.683,390953,brazil,1
Oh Meu Deus,Projota,149.966,0.796,0.727,0.422,0.00149,0.000221,0.468,0.0445,-4.224,181528,brazil,0
Teus Sonhos - Ao Vivo,Fernandinho,147.988,0.787,0.384,0.332,0.00732,1.38e-06,0.746,0.0371,-6.117,279906,brazil,1
Acaso Não Sabeis - Ao Vivo,Colo de Deus,124.424,0.555,0.358,0.277,0.685,0.0,0.141,0.0407,-7.033,400573,brazil,1
Dias de Guerra,Valesca Mayssa;Stella Laura,137.845,0.616,0.568,0.391,0.366,0.0,0.119,0.0351,-5.372,294312,brazil,1
Descansarei,Comunidade Evangélica de Maringá,139.877,0.405,0.461,0.139,0.262,0.0,0.606,0.0289,-11.424,386773,brazil,1
Pode Dormir Tranquilo,Kellen Byanca,125.822,0.524,0.716,0.273,0.457,0.0,0.0733,0.0349,-5.097,288457,brazil,1
Hoje Livre Sou - Ao Vivo,Ministério Adoração e Vida,76.003,0.501,0.52,0.372,0.608,0.0,0.112,0.0256,-4.288,272133,brazil,1
O Teatro Dos Vampiros - Ao Vivo Em São Paulo / 1999,Legião Urbana,110.457,0.358,0.543,0.441,0.546,0.0,0.226,0.151,-8.927,336733,brazil,1
Eu Te Levantarei,Frei Gilson,167.695,0.546,0.286,0.223,0.386,5.2e-06,0.122,0.0313,-6.555,355573,brazil,1
Adorador por Excelência,Nani Azevedo,179.995,0.364,0.376,0.389,0.817,0.0,0.794,0.0347,-10.742,333546,brazil,1
Vê se decide,Tim Maia,123.382,0.743,0.817,0.961,0.298,0.0,0.233,0.0464,-6.656,193866,brazil,0
Tudo é do Pai - ao vivo,Padre Fábio De Melo,138.207,0.35,0.542,0.373,0.871,0.0,0.246,0.0313,-13.945,257013,brazil,1
Que Se Abram os Céus - Ao Vivo,Nívea Soares,128.146,0.644,0.498,0.209,0.0368,0.0,0.683,0.0339,-6.284,471733,brazil,1
Um certo alguém,Lulu Santos,134.685,0.708,0.684,0.84,0.513,2.19e-06,0.088,0.0299,-11.404,213573,brazil,0
Tudo azul,Lulu Santos,93.504,0.61,0.565,0.921,0.568,0.0,0.245,0.0372,-13.236,218066,brazil,0
Saudade de casa - Ao Vivo,Jefferson & Suellen,134.521,0.472,0.229,0.164,0.309,0.0,0.521,0.0353,-8.51,321977,brazil,1
Codeine,Mandragora,140.004,0.532,0.495,0.0514,0.0227,0.354,0.331,0.0528,-8.846,329125,brazil,1
Infinity - Dubdogz & Bhaskar Edit,Dubdogz;Bhaskar,123.979,0.57,0.723,0.575,0.00412,0.00183,0.0862,0.0429,-8.589,196000,brazil,1
Bola Outro,Sotam,100.193,0.449,0.819,0.719,0.652,2.04e-06,0.139,0.229,-8.773,163000,brazil,1
Favela Sinistra,Trilha Sonora do Gueto,111.326,0.576,0.723,0.963,0.232,0.0,0.131,0.582,-10.626,215880,brazil,1
Bola de Haxixe,UCLÃ;Major RD;Sos,130.005,0.668,0.882,0.716,0.00668,0.0,0.262,0.306,-7.342,192764,brazil,1
O Preço - Ao Vivo,Charlie Brown Jr.,82.771,0.959,0.417,0.522,0.0741,0.000243,0.764,0.154,-5.853,193933,brazil,1
5AM,Sant;LP Beatzz;Costa Gold,139.989,0.633,0.794,0.701,0.417,0.0,0.137,0.288,-7.502,274323,brazil,1
O Escudo + Sou Um Milagre - Ao Vivo,Lukas Agustinho,138.468,0.487,0.368,0.266,0.338,0.0,0.0877,0.0444,-9.691,392240,brazil,1
Estações,Jessé Aguiar;Misaias Oliveira,118.963,0.69,0.647,0.521,0.237,0.0,0.351,0.0413,-6.568,167850,brazil,1
Mais leve que o ar,Marcelo Falcão,170.012,0.735,0.554,0.885,0.434,3.32e-05,0.406,0.0527,-5.915,198040,brazil,1
Pensamentos,SNJ,83.515,0.675,0.702,0.626,0.363,0.0,0.359,0.351,-5.352,335974,brazil,1
Hey Hey (Heard You Say),Cat Dealers;Lukas Vane;Elise LeGrow,126.021,0.909,0.735,0.543,0.0805,0.104,0.137,0.0736,-5.235,233333,brazil,0
Deus Está Cuidando de Você,Bruna Karla,105.003,0.458,0.576,0.252,0.0577,0.0,0.127,0.0264,-8.379,268887,brazil,1
Vícios E Virtudes - Ao Vivo,Charlie Brown Jr.,93.065,0.916,0.378,0.622,0.024,0.000381,0.988,0.0921,-7.516,189413,brazil,1
"Espírito, Enche a Minha Vida",Jeyzer Maia,123.398,0.186,0.421,0.355,0.827,0.0,0.149,0.0344,-13.706,243250,brazil,1
Tendo A Lua - Ao Vivo,Os Paralamas Do Sucesso,167.815,0.794,0.492,0.683,0.196,2.62e-06,0.873,0.046,-5.823,200826,brazil,1
Só Existe Um Lugar - Ao Vivo,Nívea Soares;Isaias Saad,131.963,0.674,0.489,0.18,0.0405,1.52e-06,0.644,0.0362,-8.627,427917,brazil,1
Amar-Te Mais,Davidson Silva,139.984,0.541,0.456,0.205,0.638,1.21e-05,0.204,0.0256,-7.175,259160,brazil,1
Sou Teu Deus,Midian Lima,127.701,0.524,0.484,0.218,0.455,0.0,0.134,0.0539,-7.341,290481,brazil,1
Amor Maior - Acústico,Jota Quest,76.008,0.538,0.582,0.355,0.636,2.23e-06,0.868,0.0353,-9.395,235385,brazil,1
Um Cara de Sorte,Detonautas Roque Clube,138.074,0.636,0.524,0.247,0.163,0.0,0.11,0.0302,-5.884,244013,brazil,1
Deus Forte,Kleber Lucas,85.425,0.643,0.412,0.373,0.0595,0.0,0.972,0.0315,-8.444,276178,brazil,1
Para Ti Eu Vou - Ao Vivo,Central 3;Gabriela Maganete;Rapha Gonçalves,133.766,0.601,0.4,0.236,0.458,0.0,0.173,0.0356,-6.879,601544,brazil,1
Carro Bicho 2,Major RD;Rock Danger;Raffé;El Lif Beatz,130.075,0.697,0.884,0.555,0.637,0.0,0.143,0.338,-6.07,164357,brazil,1
Soldado Ferido,Midian Lima,131.868,0.672,0.494,0.237,0.222,0.0,0.15,0.0434,-4.513,266193,brazil,1
Rodo cotidiano - Ao vivo,O Rappa,128.21,0.896,0.483,0.392,0.186,0.00019,0.965,0.0887,-5.206,207197,brazil,1
Podes Reinar,Agnus Dei,68.803,0.264,0.429,0.218,0.797,0.0,0.128,0.0274,-13.838,175320,brazil,1
Outro Alguém,Maneva,149.996,0.675,0.687,0.682,0.337,6.64e-06,0.357,0.0578,-7.093,154431,brazil,1
Deixa Eu Te Usar - Ao Vivo,Sarah Farias,53.353,0.629,0.202,0.285,0.195,0.0,0.362,0.0354,-5.642,277840,brazil,1
Outro Na Fornalha (Another In The Fire) - Ao Vivo,Mari Borges;Sarah Beatriz,129.924,0.758,0.557,0.192,0.324,3.34e-06,0.0838,0.0414,-6.165,269840,brazil,1
Vai Passar,Gerson Rufino,136.008,0.555,0.526,0.223,0.037,0.0,0.14,0.0262,-4.789,332933,brazil,1
Pula,Tihuana,137.156,0.937,0.78,0.935,0.0319,0.0,0.102,0.147,-4.108,182106,brazil,1
Teu Toque - Ao Vivo,Gabi Sampaio;Nívea Soares,135.863,0.612,0.435,0.226,0.601,1.01e-06,0.126,0.0393,-6.696,453930,brazil,1
Fica Tudo Bem - Ao Vivo,Leandro Borges,135.744,0.724,0.458,0.369,0.314,0.0,0.676,0.0546,-6.487,392801,brazil,1
Carteira de Habilitação,Um Barril de Rap,119.738,0.699,0.578,0.772,0.4,1.17e-06,0.246,0.36,-9.192,160512,brazil,1
Ninguém Te Ama Como Eu,Cristina Máximo,148.078,0.177,0.485,0.371,0.962,0.0,0.118,0.0312,-8.585,230133,brazil,1
Diante do Rei,Padre Fábio De Melo,64.807,0.367,0.384,0.237,0.757,0.0,0.461,0.0305,-10.685,221640,brazil,1
Blusinha Branca,Papas Da Língua,170.098,0.899,0.601,0.779,0.213,0.0,0.721,0.0651,-6.713,298453,brazil,1
Diante do Rei,Vida Reluz,129.839,0.324,0.555,0.117,0.438,0.0,0.264,0.0282,-10.63,230133,brazil,1
Nada Além do Sangue - Acústico,Fernandinho;Paula Santos,143.867,0.534,0.451,0.147,0.524,0.0,0.121,0.0321,-5.511,388373,brazil,1
Adorarei - Ao Vivo,Rebeca Carvalho;Gabriel Guedes de Almeida,135.97,0.478,0.294,0.287,0.204,0.0,0.126,0.0361,-7.136,348706,brazil,1
Teus Olhos Revelam - Ao Vivo,Jozyanne,93.932,0.566,0.494,0.212,0.798,0.0,0.985,0.0266,-6.724,298005,brazil,1
Fiel a Mim,Eyshila,90.002,0.533,0.351,0.266,0.634,0.0,0.413,0.0291,-5.904,442015,brazil,1
Eu Não Gosto de Ninguém,Matanza,164.088,0.951,0.41,0.61,2.99e-05,0.0,0.187,0.0556,-4.762,231760,brazil,1
Ninguém Te Ama Como Eu / Basta Querer / Não Dá Mais pra Voltar - Ao Vivo,Padre Marcelo Rossi,139.979,0.653,0.435,0.274,0.339,0.0,0.912,0.0319,-6.536,413656,brazil,1
Primeiro Amor,Aline Barros,121.954,0.434,0.649,0.264,0.452,0.0,0.0818,0.0317,-6.669,208608,brazil,1
Tu És o Centro (Ao Vivo),Frei Gilson,76.004,0.449,0.56,0.198,0.6,1.43e-05,0.638,0.0282,-9.882,1357451,brazil,1
O Céu Se Abre - Ao Vivo,Ministério Adoração e Vida,143.653,0.577,0.303,0.356,0.403,3.49e-06,0.54,0.0327,-5.02,310253,brazil,1
Tudo Por Nada,Paulo Ricardo,94.561,0.593,0.654,0.555,0.043,1.36e-06,0.0555,0.0284,-8.189,264506,brazil,1
Aprender Com a Vida,Gabriel Brito,130.153,0.248,0.424,0.318,0.891,0.0,0.127,0.0295,-9.764,258044,brazil,1
Desabafo / Deixa Eu Dizer,Marcelo D2;Claudia,85.409,0.869,0.6,0.786,0.0364,0.0,0.287,0.315,-5.565,175666,brazil,1
Sicko Drop,KVSH;Schillist,123.983,0.713,0.843,0.298,0.0276,0.76,0.0961,0.0851,-5.487,147976,brazil,1
O Que Separa os Homens dos Meninos,Sant;Stau,80.483,0.635,0.641,0.66,0.796,0.0,0.104,0.868,-10.05,204000,brazil,1
Paranoia,Felp 22;Medellin;Sueth,144.957,0.519,0.642,0.563,0.742,3.54e-06,0.103,0.149,-7.423,198620,brazil,1
Deixe-Me Ir / Tem Café - Ao Vivo,Maneva,176.192,0.714,0.616,0.695,0.243,0.0,0.316,0.311,-3.965,272277,brazil,1
Nômade VII,Zarastruta;Jean Tassy;Patricio Sid;Don,92.972,0.424,0.813,0.546,0.816,0.0,0.081,0.375,-11.035,206451,brazil,1
Fake Love Song,Major RD;Bagua Records;Neo Beats,110.011,0.683,0.922,0.72,0.156,0.0,0.661,0.413,-8.045,165818,brazil,1
Em busca do porrão - Versão 2,O Rappa,92.978,0.57,0.652,0.78,0.638,0.00815,0.154,0.0259,-9.013,312280,brazil,1
Não Vá Dizer Que Não,Maneva,96.081,0.571,0.52,0.399,0.692,2.01e-06,0.17,0.0333,-8.423,224156,brazil,1
Kyoto,Froid;Alaska,170.975,0.514,0.642,0.675,0.626,0.0,0.129,0.27,-8.357,186709,brazil,1
Amor Pra Recomeçar,Jopin;Saulo,125.985,0.678,0.633,0.582,0.0857,0.0,0.414,0.0339,-10.141,158095,brazil,1
FINGE QUE ME ODEIA,Flora Matos,148.025,0.553,0.754,0.619,0.168,0.0,0.149,0.0491,-8.757,161000,brazil,1
O Mundo Deu Voltas,ConeCrewDiretoria,96.892,0.601,0.71,0.649,0.564,0.00182,0.116,0.304,-5.859,321649,brazil,1
Caleidoscópio - Ao Vivo,Os Paralamas Do Sucesso,175.448,0.494,0.567,0.547,0.245,0.00132,0.712,0.046,-11.309,256720,brazil,1
Sexta-Feira,Marcelo Falcão;Cynthia Luz,96.017,0.739,0.674,0.647,0.065,0.0,0.35,0.0662,-5.548,239118,brazil,1
R.U.A 12 Batalha de Vida,Fabio Brazza;Nocivo Shomon;Jhony Mc;Krawk;Max Bo;Alves;Sid,160.191,0.571,0.739,0.656,0.449,0.0,0.324,0.403,-10.343,618000,brazil,1
Vem - Ao Vivo,Nívea Soares;Gabriela Rocha,144.037,0.65,0.358,0.226,0.0546,1.34e-06,0.641,0.0429,-9.241,571013,brazil,1
Tão Simples,Maneva,140.109,0.52,0.768,0.776,0.0912,1.26e-06,0.435,0.0994,-7.375,142131,brazil,1
Na horda - Ao vivo,O Rappa,140.885,0.857,0.581,0.697,0.374,0.0462,0.96,0.127,-5.89,306961,brazil,1
Quando Te Vejo,Thiago Ramalho,127.91,0.339,0.639,0.176,0.486,0.0118,0.155,0.0373,-10.937,194631,brazil,1
60K - Remix,Major RD;Rock Danger;Azzy;Baratapai,132.999,0.751,0.844,0.801,0.596,4.38e-06,0.0507,0.129,-4.651,163428,brazil,1
Tudo Que Ela Gosta De Escutar,Charlie Brown Jr.,115.374,0.621,0.852,0.896,0.126,1.43e-05,0.038,0.0483,-3.843,174262,brazil,1
Aluga-Se,Raul Seixas,143.138,0.823,0.71,0.967,0.467,0.0,0.0982,0.0901,-8.713,158266,brazil,1
Um Milhão de Anos,Theo Rubia,133.961,0.494,0.459,0.0808,0.0685,1.19e-05,0.105,0.0341,-7.608,589233,brazil,1
Morena,Scracho,139.983,0.617,0.731,0.417,0.0355,0.000102,0.147,0.0428,-6.975,247986,brazil,1
Vinde A Mim,Gabriela Gomes,145.824,0.574,0.423,0.12,0.026,0.0,0.075,0.0375,-5.48,329262,brazil,1
Amanhã ou Depois,Nenhum De Nós,94.008,0.783,0.56,0.734,0.136,1.18e-05,0.329,0.0249,-5.695,203466,brazil,1
Vai Ter Vida Aí,Midian Lima,94.658,0.441,0.387,0.305,0.405,0.0,0.0985,0.0335,-9.177,270512,brazil,1
Apelido Carinhoso / Cigana - Ao Vivo,Maneva,143.865,0.534,0.765,0.512,0.258,4.82e-06,0.102,0.101,-6.867,381045,brazil,1
Pela Última Vez,NX Zero,124.974,0.939,0.634,0.638,0.0847,0.0,0.0776,0.0428,-2.638,224200,brazil,1
Foi a Mão de Deus,Sued Silva,121.729,0.53,0.37,0.371,0.0736,0.0,0.132,0.0402,-6.736,408181,brazil,1
Qual Mentira Vou Acreditar,Racionais MC's,89.993,0.52,0.901,0.806,0.0257,0.0,0.443,0.312,-10.203,461200,brazil,1
Cowboy Fora Da Lei,Raul Seixas,172.522,0.744,0.43,0.812,0.0491,0.0,0.295,0.0707,-7.924,215426,brazil,1
Conto De Fraldas,Tianastacia,118.052,0.594,0.675,0.598,0.0348,1.91e-05,0.451,0.0281,-7.518,272293,brazil,1
Minha Alma Anseia por Ti,Fredy Miller,131.982,0.323,0.421,0.25,0.615,0.0,0.115,0.0293,-8.597,382339,brazil,1
Chão de Giz,Zé Ramalho,145.24,0.427,0.277,0.561,0.703,0.000221,0.267,0.0308,-9.124,285360,brazil,1
Seu Amor Me Persegue (Ao Vivo),Casa Worship;Julliany Souza,133.808,0.481,0.257,0.189,0.0959,0.000101,0.579,0.0364,-10.054,1035895,brazil,1
Na Zona Sul,Sabotage;Helião;Cascão;DJ Cia,84.14,0.519,0.892,0.653,0.162,0.0,0.0938,0.348,-7.568,315493,brazil,1
Promete,Maneva,122.889,0.407,0.776,0.749,0.644,0.0,0.148,0.0649,-8.282,180398,brazil,1
Preto Zica,Racionais MC's;DJ Cia,85.005,0.606,0.742,0.582,0.0598,0.00028,0.14,0.222,-7.277,123370,brazil,1
Humano Amor de Deus,Padre Fábio De Melo,133.872,0.339,0.546,0.441,0.657,0.0,0.105,0.0323,-13.463,283666,brazil,1
Por Onde Andei - Ao Vivo,Nando Reis;Cachorro Grande,172.034,0.819,0.386,0.817,0.131,8.36e-06,0.365,0.0523,-7.89,235626,brazil,1
